file,width,height,fps,frame_count,duration_s,size_mb,has_srt
Berghouse Leopard Jog.mp4,1280,720,29.97,1131,37.7,15.0,False
Bluemlisalphutte Flyover.mp4,1280,720,29.97,1006,33.6,10.2,False
Creux du Van Flight.mp4,1280,720,23.98,1262,52.6,15.3,False
DJI_0501.MP4,3840,2160,29.97,247,8.2,59.2,True
DJI_0574.MP4,3840,2160,29.97,967,32.3,230.8,True
DJI_0596.MP4,3840,2160,29.97,1070,35.7,255.4,True
DJI_0790.MOV,3840,2160,29.97,1988,66.3,474.7,False
DJI_0862.MOV,3840,2160,29.97,1521,50.8,363.2,True
DJI_0876.MOV,3840,2160,29.97,1258,42.0,300.8,True
Isles of Glencoe.mp4,1280,720,29.97,939,31.3,9.6,False
Stockflue Flyaround.mp4,1280,720,29.97,691,23.1,6.7,False
Surenen Pass Trail Running.mp4,406,720,29.97,1183,39.5,4.1,False
VerticalFlyOver.mp4,720,1280,30.0,566,18.9,7.4,False
